nro;nombre_archivo;id_revista;revista;pais;macroarea;metodologia;titulo;anio;autores;doi;url_fulltext;disciplina;objetivo_general;frase_inferencia;frase_muestreo;tipo_estudio;enfoque_metodologico;diseno_estudio;tamano_muestra;es_cuantitativo_con_inferencia;muestreo_probabilistico;muestreo_no_probabilistico;declara_tipo_muestreo;declara_calculo_tamano_muestral;reporta_intervalos_confianza;extrapola_a_poblacion;advierte_limites_muestreo;aplica_muestreo_inferencial;clasificacion_inferencial;motivo_principal;nivel_confianza_clasificacion;incumple_inferencia;software_estadistico;comentario_metodologico;area;macroarea_final;origen;estado;ruta_pdf_ref;clasificacion_original;clasificacion_recheck;clasificacion_final;aplicable_final;_reconfirmado
7;EXP_Cien_0007_2018_Brown_seaweed_extract_enhances_rooting_R20260402C.pdf;;Ornamental Horticulture;Brasil;;;Brown seaweed extract enhances rooting and roots growth on Passiflora actinia Hook stem cuttings;2018.0;;10.14295/oh.v24i3.1221;https://ornamentalhorticulture.emnuvens.com.br/rbho/article/view/1221;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
8;EXP_Cien_0008_2014_Public-domain_software_for_root_image__R20260402C.pdf;;Revista Brasileira de Ciência do Solo;Brasil;;;Public-domain software for root image analysis;2014.0;;10.1590/S0100-06832014000500001;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000500001&lng=en&tlng=en;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
13;EXP_Cien_0013_2005_Parâmetros_ruminal_sangüíneo_e_urinári_R20260402C.pdf;;Revista Brasileira de Zootecnia;Brasil;;;Parâmetros ruminal, sangüíneo e urinário e digestibilidade de nutrientes em novilhas leiteiras recebendo diferentes níveis de monensina Effects of different dietary levels of monensin on nutrient digestibility and on ruminal, blood and urinary metabolites in dairy heifers;2005.0;;10.1590/S1516-35982005000600040;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982005000600040;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
14;EXP_Cien_0014_2004_Incorporação_da_dependência_espacial_n_R20260402C.pdf;;Ciência e Agrotecnologia;Brasil;;;Incorporação da dependência espacial na análise de um experimento de avaliação de progênies de milho quanto à resistência à ferrugem comum Spatial dependency analysis of a maize progeny to evaluation the common rust resistance;2004.0;;10.1590/S1413-70542004000500024;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542004000500024;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
15;EXP_Cien_0015_2003_Análise_genética_da_habilidade_de_perm_R20260402C.pdf;;Revista Brasileira de Zootecnia;Brasil;;;Análise genética da habilidade de permanência em fêmeas da raça Nelore Genetic analysis of stayability among Nelore females;2003.0;;10.1590/S1516-35982003000300011;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000300011;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
16;EXP_Cien_0016_2000_EVALUACION_DE_AGUA_SUBTERRANEA_PARA_RI_R20260402C.pdf;;Revista Águas Subterrâneas;Brasil;;;EVALUACION DE AGUA SUBTERRANEA PARA RIEGO EN LA ESTANCIA SAN BERNARDO, DEPARTAMENTO CAPITAL, PROVINCIA DE SAN LUIS, ARGENTINA;2000.0;;;https://aguassubterraneas.abas.org/asubterraneas/article/view/23531;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
17;EXP_Cien_0018_2024_Ornamental_peppers_there_is_some_accou_R20260402C.pdf;;Ornamental Horticulture;Brasil;;;Ornamental peppers: there is some accounting for taste;2024.0;;10.1590/2447-536X.v30.e242724;https://ornamentalhorticulture.com.br/rbho/article/view/2724;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
18;EXP_Cien_0019_2022_Determination_of_factors_affecting_pro_R20260402C.pdf;;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;Brasil;;;Determination of factors affecting profit by quantitative methods in broiler enterprises;2022.0;;10.1590/1678-4162-12599;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352022000300549&tlng=en;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
20;EXP_Cien_0021_2021_A_two-location_trial_for_selecting_cor_R20260402C.pdf;;Revista Brasileira de Zootecnia;Brasil;;;A two-location trial for selecting corn silage hybrids for the humid tropic: forage and grain yields and in vitro fermentation characteristics;2021.0;;10.37496/rbz5020200110;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982021000100503&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
21;EXP_Cien_0022_2021_Relationship_between_physiology_and_pr_R20260402C.pdf;;Revista Brasileira de Engenharia Agrícola e Ambiental;Brasil;;;Relationship between physiology and production of maize under different water replacements in the Brazilian semi-arid;2021.0;;10.1590/1807-1929/agriambi.v26n1p21-27;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662022000100021&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
22;EXP_Cien_0023_2020_Estimation_of_leaf_nutrient_concentrat_R20260402C.pdf;;Scientia Agricola;Brasil;;;Estimation of leaf nutrient concentration from hyperspectral reflectance in Eucalyptus using partial least squares regression;2020.0;;10.1590/1678-992x-2018-0409;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162020000601402&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
23;EXP_Cien_0024_2014_Multivariate_analysis_applied_to_the_s_R20260402C.pdf;;Revista Brasileira de Ciência do Solo;Brasil;;;Multivariate analysis applied to the study of the relationship between soil and plant properties in a peach orchard;2014.0;;10.1590/S0100-06832014000300007;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000300007&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
24;EXP_Cien_0025_2014_Phosphorus_availability_in_oxidic_soil_R20260402C.pdf;;Revista Brasileira de Ciência do Solo;Brasil;;;Phosphorus availability in oxidic soils treated with lime and silicate applications;2014.0;;10.1590/S0100-06832014000400018;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000400018&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
1;EXP_Cien_0028_2012_Technological_and_sensory_quality_of_r_R20260402C.pdf;;Ciência e Agrotecnologia;Brasil;;;Technological and sensory quality of restructured low-fat cooked ham containing liquid whey Características tecnológicas e sensoriais de apresuntados com baixo teor de gordura elaborados com soro de leite;2012.0;;10.1590/S1413-70542012000100011;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000100011;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
3;EXP_Cien_0030_2011_Análise_de_sensibilidade_dos_métodos_d_R20260402C.pdf;;Revista Brasileira de Engenharia Agrícola e Ambiental;Brasil;;;Análise de sensibilidade dos métodos de estimativa da evapotranspiração de referência e razão de Bowen em cultura da cana-de-açúcar Sensitivity analysis of methods for estimating reference evapotranspiration and sugarcane evapotranspiration;2011.0;;10.1590/S1415-43662011001000008;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011001000008;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
4;EXP_Cien_0031_2011_Optimum_size_in_grid_soil_sampling_for_R20260402C.pdf;;Scientia Agricola;Brasil;;;Optimum size in grid soil sampling for variable rate application in site-specific management Tamanho ideal em grades de amostragem de solos para aplicação em taxa variável em manejo localizado;2011.0;;10.1590/S0103-90162011000300017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162011000300017;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
5;EXP_Cien_0032_2011_COMPOSIÇÃO_CORPORAL_E_FORÇA_MUSCULAR_E_R20260402C.pdf;;Revista de Educação Física;Brasil;;;COMPOSIÇÃO CORPORAL E FORÇA MUSCULAR EM INDIVÍDUOS COM PREDOMINÂNCIA DE FIBRAS DE CONTRAÇÃO RÁPIDA SUBMETIDOS A TREINAMENTO RESISTIDO.;2011.0;;10.37310/ref.v80i152.448;https://revistadeeducacaofisica.emnuvens.com.br/revista/article/view/448;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
7;EXP_Cien_0035_2009_Atributos_químicos_e_físicos_de_latoss_R20260402C.pdf;;Revista Brasileira de Ciência do Solo;Brasil;;;Atributos químicos e físicos de latossolos e sua relação com os rendimentos de milho e feijão irrigados Chemical and physical attributes of oxisols and their relation with irrigated corn and common bean yields;2009.0;;10.1590/S0100-06832009000400008;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832009000400008;;;;;;;;;;;No;;;;No;No;Sí;Sin falla relevante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Sin falla relevante;;
8;EXP_Cien_0036_2009_Diagnostic_techniques_applied_in_geost_R20260402C.pdf;;Revista Brasileira de Ciência do Solo;Brasil;;;Diagnostic techniques applied in geostatistics for agricultural data analysis Técnicas de diagnóstico utilizadas em geoestatística para análise de dados agrícolas;2009.0;;10.1590/S0100-06832009000600005;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832009000600005;;;;;;;;;;;No;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
13;EXP_Cien_0041_2002_Implicações_da_nova_lógica_de_ação_do__R20260402C.pdf;;Educação & Sociedade;Brasil;;;Implicações da nova lógica de ação do Estado para a educação municipal Implications of the Government's new logic on municipal education;2002.0;;10.1590/S0101-73302002008000004;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302002008000004;;;;;;;;;;;No declara;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
14;EXP_Cien_0042_0_Effects_of_exercise_on_cationsanions_i_R20260402C.pdf;;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;Brasil;;;Effects of exercise on cations/anions in blood serum of English Thoroughbred horses;2020.0;;10.1590/1678-4162-10830;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352019000300909&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
15;EXP_Cien_0043_0_Bayesian_sequential_procedure_to_estim_R20260402C.pdf;;Scientia Agricola;Brasil;;;Bayesian sequential procedure to estimate the viability of seeds Coffea arabica L. in tetrazolium test;2020.0;;10.1590/1678-992x-2017-0123;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162019001300198&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
16;EXP_Cien_0044_2026_Effects_of_selective_serotonin_and_nor_R20260402C.pdf;;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;Brasil;;;Effects of selective serotonin and norepinephrine reuptake inhibitor (Venlafaxine) in urine marking behavior in castrated male cats;2026.0;;10.1590/1678-4162-13499;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352025000400118&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
19;EXP_Cien_0047_2025_CARBON_STOCK_IN_AN_URBAN_AREA_AFFOREST_R20260402C.pdf;;Revista Árvore;Brasil;;;CARBON STOCK IN AN URBAN AREA AFFORESTED 50 YEARS AGO;2025.0;;10.53661/18069088202549263919;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622025000100225&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
20;EXP_Cien_0048_2025_Planning_and_evaluation_of_rooftop_gar_R20260402C.pdf;;Ornamental Horticulture;Brasil;;;Planning and evaluation of rooftop garden designs: A survey-based assessment study at faculty of Agriculture;2025.0;;10.1590/2447-536X.v31.e312971;https://ornamentalhorticulture.com.br/rbho/article/view/2971;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
21;EXP_Cien_0049_2023_Comparison_of_KIT_patterns_and_infiltr_R20260402C.pdf;;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;Brasil;;;Comparison of KIT patterns and infiltration of eosinophils in canine mast cell tumor;2023.0;;10.1590/1678-4162-12963;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352023000601047&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
22;EXP_Cien_0050_2023_Study_of_quantitative_characteristics__R20260402C.pdf;;Ornamental Horticulture;Brasil;;;Study of quantitative characteristics of three cultures (peonies, hostas, irises) for their use in urban landscaping;2023.0;;10.1590/2447-536X.v29i1.2507;https://www.ornamentalhorticulture.com.br/rbho/article/view/2507;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
24;EXP_Cien_0052_2021_Biomass_productivity_of_Chlorella_vulg_R20260402C.pdf;;Semina: Ciências Agrárias;Brasil;;;Biomass productivity of Chlorella vulgaris cultivated in fish and dairy cattle wastewaters;2021.0;;10.5433/1679-0359.2021v42n3p1369;https://ojs.uel.br/revistas/uel/index.php/semagrarias/article/view/39296;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;;;;;;;Debilidad importante;;
25;EXP_Cien_0053_2020_Chemical_composition_aerobic_stability_R20260402C.pdf;;Semina: Ciências Agrárias;Brasil;;;Chemical composition, aerobic stability, and fermentation pattern of white oat silage wilted with glyphosate;2020.0;;10.5433/1679-0359.2020v41n3p971;https://ojs.uel.br/revistas/uel/index.php/semagrarias/article/view/36781;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
1;EXP_Cien_0054_2020_Multi-source_remote_sensing_data_impro_R20260402C.pdf;;Revista Brasileira de Cartografia;Brasil;;;Multi-source remote sensing data improves the classification accuracy of natural forests and eucalyptus plantations;2020.0;;10.14393/rbcv72n1-50477;http://www.seer.ufu.br/index.php/revistabrasileiracartografia/article/view/50477;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
6;EXP_Cien_0061_2013_Water_absorbent_polymer_in_sugarcane_c_R20260402C.pdf;;Engenharia Agrícola;Brasil;;;Water absorbent polymer in sugarcane crop Polímeros hidroabsorventes em cultura canavieira;2013.0;;;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162013000100011;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
7;EXP_Cien_0063_2011_SPEECH_PERCEPTION_AND_REGIONAL_ENVIRON_R20260402C.pdf;;Travessias;Brasil;;;SPEECH PERCEPTION AND REGIONAL ENVIRONMENTAL ACTION AS A BUILDING IN A SETTLEMENT BY THE CONSOLIDATED INCRA NOT IN THE BRAZILIAN AMAZON;2011.0;;;http://e-revista.unioeste.br/index.php/travessias/article/view/4758;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
8;EXP_Cien_0064_2010_Características_físicas_de_la_població_R20260402C.pdf;;Maguaré;Colombia;;;Características físicas de la población prehispánica de la cordillera oriental: implicaciones etnogenéticas;2010.0;;;http://www.revistas.unal.edu.co/index.php/maguare/article/view/14230;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
9;EXP_Cien_0065_2009_Análise_multivariada_de_atributos_pedo_R20260402C.pdf;;Revista Árvore;Brasil;;;Análise multivariada de atributos pedológicos e fitossociológicos aplicada na caracterização de ambientes de cerrado no norte de Minas Gerais Multivariate analysis of pedological and phytosociogical attributes applied to characterization of cerrado environments in north of Minas Gerais State, Brazil;2009.0;;10.1590/S0100-67622009000500018;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622009000500018;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
11;EXP_Cien_0067_2008_Estimativas_de_repetibilidade_de_carac_R20260402C.pdf;;Pesquisa Agropecuária Brasileira;Brasil;;;Estimativas de repetibilidade de caracteres de produção em laranjeiras-doces no Acre Estimate of repeatability of traits of sweet orange tree production in Acre, Brazil;2008.0;;10.1590/S0100-204X2008001200017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008001200017;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
13;EXP_Cien_0070_1999_Effect_of_soil-water_tension_on_herbac_R20260402C.pdf;;Pesquisa Agropecuária Brasileira;Brasil;;;Effect of soil-water tension on herbaceous cotton yield Efeito de tensões de água no solo sobre o rendimento do algodoeiro herbáceo;1999.0;;10.1590/S0100-204X1999001000018;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999001000018;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;;;;;;;Falla fuerte;;
14;EXP_Cien_0071_2012_Regional_differences_associated_with_d_R20260402C.pdf;;Brazilian Journal of Psychiatry;Brasil;;;Regional differences associated with drinking and driving in Brazil Diferenças regionais entre os fatores associados ao beber e dirigir no Brasil;2012.0;;10.1016/j.rbp.2012.02.003;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000300010;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
15;EXP_Cien_0072_2010_Avaliação_da_evolução_da_área_das_valv_R20260402C.pdf;;Revista Brasileira de Ginecologia e Obstetrícia;Brasil;;;Avaliação da evolução da área das valvas mitral e tricúspide fetal com ultrassonografia tridimensional Assessment of the fetal mitral and tricuspid valves areas development by three-dimensional ultrasonography;2010.0;;10.1590/S0100-72032010000900003;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032010000900003;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
16;EXP_Cien_0073_2024_Identifying_disparities_in_mental_illn_R20260402C.pdf;;Brazilian Journal of Psychiatry;Brasil;;;Identifying disparities in mental illness and well-being across no-risk, risk, and intersectional groups during the Covid-19 pandemic and the role of sociodemographics in mental health outcomes;2024.0;;10.47626/1516-4446-2023-3532;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462024000100226&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
17;EXP_Cien_0074_2023_Temporal_dynamics_of_Apis_mellifera_Hy_R20260402C.pdf;;Anais da Academia Brasileira de Ciências;Brasil;;;Temporal dynamics of Apis mellifera (Hymenoptera: Apidae) during flowering in indeterminate soybean (Glycine max);2023.0;;10.1590/0001-3765202320191214;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652023000701404&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
18;EXP_Cien_0075_2016_Intimate_partner_violence_trends_in_Br_R20260402C.pdf;;Brazilian Journal of Psychiatry;Brasil;;;Intimate partner violence trends in Brazil: data from two waves of the Brazilian National Alcohol and Drugs Survey;2016.0;;10.1590/1516-4446-2015-1798;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462016000200098&lng=en&tlng=en;;;;;;;;;;;No;;;;Sí;Sí;Sí;Sin falla relevante;;;No;;;Ciencias Naturales y Exactas;;;;;;;Sin falla relevante;;
19;EXP_Cien_0076_2015_Disentangling_the_effects_of_insomnia__R20260402C.pdf;;Brazilian Journal of Medical and Biological Research;Brasil;;;Disentangling the effects of insomnia and night work on                     cardiovascular diseases: a study in nursing professionals;2015.0;;10.1590/1414-431X20143965;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015000200120&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
20;EXP_Cien_0077_2014_Niveles_de_leptina_en_la_primera_y_seg_R20260402C.pdf;;Revista Colombiana de Obstetricia y Ginecología;Colombia;;;Niveles de leptina en la primera y segunda mitad del embarazo en gestantes de Armenia, Colombia, 2011: Estudio de cohorte;2014.0;;;http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342014000100006&lng=en&tlng=en;;;;;;;;;;;Sí;;;;No;Sí;Sí;Debilidad importante;;;No;;;Ciencias Naturales y Exactas;;;;;;;Debilidad importante;;
21;EXP_Cien_0078_2012_Prevalencia_del_desorden_de_deseo_sexu_R20260402C.pdf;;Revista Colombiana de Obstetricia y Ginecología;Colombia;;;Prevalencia del desorden de deseo sexual hipoactivo en mujeres Colombianas y factores asociados;2012.0;;;http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342012000200005&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
22;EXP_Cien_0079_2006_La_depresión_postparto_en_madres_adole_R20260402C.pdf;;Revista Colombiana de Obstetricia y Ginecología;Colombia;;;La depresión postparto en madres adolescentes de Bucaramanga, Colombia Postpartum depression in adolescent women from Bucaramanga, Colombia;2006.0;;;http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342006000300003;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
23;EXP_Cien_0080_2005_Efeito_da_via_de_parto_sobre_a_força_m_R20260402C.pdf;;Revista Brasileira de Ginecologia e Obstetrícia;Brasil;;;Efeito da via de parto sobre a força muscular do assoalho pélvico The influence of the delivery route on pelvic floor muscle strength;2005.0;;10.1590/S0100-72032005001100008;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032005001100008;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
24;EXP_Cien_0081_2015_Personality_prototype_as_a_risk_factor_R20260402C.pdf;;Brazilian Journal of Psychiatry;Brasil;;;Personality prototype as a risk factor for eating disorders;2015.0;;10.1590/1516-4446-2014-1583;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462015005041583&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
25;EXP_Cien_0082_2014_Possible_benefit_of_consolidation_ther_R20260402C.pdf;;Brazilian Journal of Medical and Biological Research;Brasil;;;Possible benefit of consolidation therapy with high-dose cytarabine on overall survival of adults with non-promyelocytic acute myeloid leukemia;2014.0;;10.1590/1414-431x20144059;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015000200178&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
1;EXP_Cien_0083_2014_Variations_in_the_body_mass_index_in_B_R20260402C.pdf;;Revista Brasileira de Ginecologia e Obstetrícia;Brasil;;;Variations in the body mass index in Brazilian women undergoing adjuvant chemotherapy for breast cancer;2014.0;;10.1590/S0100-720320140005081;http://www.scielo.br/pdf/rbgo/v36n11/0100-7203-rbgo-36-11-0503.pdf;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
2;EXP_Cien_0084_2014_Have_drivers_at_alcohol_outlets_change_R20260402C.pdf;;Brazilian Journal of Psychiatry;Brasil;;;Have drivers at alcohol outlets changed their behavior after the new traffic law?;2014.0;;10.1590/1516-4446-2013-1131;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462014000100004&lng=en&tlng=en;;;;;;;;;;;No;;;;Sí;Sí;Sí;Sin falla relevante;;;No;;;Ciencias Naturales y Exactas;;;;;;;Sin falla relevante;;
3;EXP_Cien_0085_2013_sin_titulo_R20260402C.pdf;;Anais da Academia Brasileira de Ciências;Brasil;;;;2013.0;;;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652013000100087;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Naturales y Exactas;;;;;;;Falla fuerte;;
4;EXP_Cien_0086_2011_Dinâmica_temporal_do_estrato_herbáceo-_R20260402C.pdf;;Acta Botânica Brasílica;Brasil;;;Dinâmica temporal do estrato herbáceo-arbustivo de uma área de campo limpo úmido em Alto Paraíso de Goiás, Brasil Temporal dynamics of the shrub and herbaceous layer of an area of moist grassland in Alto Paraíso de Goiás, Brazil;2011.0;;10.1590/S0102-33062011000200025;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062011000200025;;;;;;;;;;;No;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias Naturales y Exactas;;;;;;;Debilidad importante;;
